,title,discountedPrice,imgUrl,actualPrice,rating
138,"(Renewed) HP Pavilion 13-an0046tu 2018 13.3-inch Laptop (Core i5-8265U/8GB/256GB/Windows 10 Home/Integrated Graphics), Mineral Silver","46,490",https://m.media-amazon.com/images/I/612n84m+EGL._AC_UY218_.jpg,"₹46,490",5.0 out of 5 stars
140,"ASUS VivoBook 15 (2020) Intel Core i3-1005G1 10th Gen, 15.6-inch FHD Thin and Light Laptop (4GB RAM/1TB HDD/Windows 10/Integrated Graphics/Slate Grey/1.8 Kg), X515JA-EJ301T","31,990",https://m.media-amazon.com/images/I/81oVSSITRQL._AC_UY218_.jpg,"₹31,990",3.2 out of 5 stars
141,"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, Iris Xe Graphics, 8 GB RAM, 1TB SSD, 15-inch FHD Screen, Windows 10, MS Office, Built-in Alexa, (FR2005TU)","63,778",https://m.media-amazon.com/images/I/81SdJG3OUjL._AC_UY218_.jpg,"₹63,778",4.2 out of 5 stars
143,"Acer Aspire 3 A315-23 15.6-inch Laptop (AMD Athlon Silver 3050U dual-core/4GB/1TB HDD/Window 10, Home, 64Bit/AMD RadeonTM Graphics), Silver","32,990",https://m.media-amazon.com/images/I/610oaBCr+XL._AC_UY218_.jpg,"₹32,990",3.7 out of 5 stars
144,"HP 15 Thin & Light 15.6-inch FHD Laptop (11th Gen Intel Core i5-1135G7, 8GB DDR4, 256GB SSD + 1TB HDD, Win 10 Home, MS Office, 2GB MX350 Graphics, FPR, Natural Silver, 1.76 Kg), 15s-du3047TX","62,990",https://m.media-amazon.com/images/I/71dbvTXW+hL._AC_UY218_.jpg,"₹62,990",3.9 out of 5 stars
145,"Asus Pentium Quad Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1020T Laptop (15.6 inch, Transparent Silver, 1.9 kg)","23,990",https://m.media-amazon.com/images/I/417uLvsY+1L._AC_UY218_.jpg,"₹23,990",3.3 out of 5 stars
146,"Dell Inspiron 3501 15.6-inch FHD Laptop (10th Gen Core i3/8GB/1TB HDD + 256GB SSD/Windows 10 + MS Office 2019/Intel HD Graphics/1.83 kg), Black","46,900",https://m.media-amazon.com/images/I/81S+9npA5oL._AC_UY218_.jpg,"₹46,900",3.9 out of 5 stars
148,"HP Chromebook 14a-na0002TU 14-inch Laptop (Celeron N4020/4GB/64GB SSD/Chrome OS/Integrated Graphics), Ceremic White","24,990",https://m.media-amazon.com/images/I/61Gnrgw0mrL._AC_UY218_.jpg,"₹24,990",4.1 out of 5 stars
149,"HP Pavilion Gaming DK0271TX 15.6-inch 144 Hz Screen Laptop (Core i5-9300H/8GB/512GB SSD/Windows 10 Home/MS Office/4GB NVIDIA GeForce GTX 1650 Graphics), Shadow Black","78,000",https://m.media-amazon.com/images/I/81pezrPSgOL._AC_UY218_.jpg,"₹78,000",4.4 out of 5 stars
153,"HP 14 Ultra Thin & Light 14-inch Laptop (10th Gen i3-1005G1/8GB/256GB SSD/Win 10 Home/MS Office/1.47 Kg/Jet Black), 14s-cf3074TU and Wireless Mice Combo","37,689",https://m.media-amazon.com/images/I/81C6qQCC7-L._AC_UY218_.jpg,37689.00,4.0 out of 5 stars
